Time:6,End Time,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Event Id,Event Date,Event Duration
45.9218750000,46.4218750000,0.2885802187,0.0151545479,0.0518040175,0.0298846241,0.0403328567,0.0513630685,,,
46.0214843750,46.5214843750,0.3765478894,0.0156390638,0.0691720236,0.0238867306,0.0477569342,0.0464596830,,,
46.1210937500,46.6210937500,0.4232941049,0.0156216770,0.0830927638,0.0241235411,0.0500084546,0.0367030943,,,
46.2207031250,46.7207031250,0.4120468745,0.0147496479,0.0879739656,0.0282353403,0.0481225728,0.0268385561,,,
46.3203125000,46.8203125000,0.3502068791,0.0147752370,0.0881873115,0.0366344613,0.0433474042,0.0190501587,,,
46.4199218750,46.9199218750,0.2696987107,0.0164698222,0.0871411715,0.0538330308,0.0391476376,0.0136355971,,,
46.5195312500,47.0195312500,0.2016094052,0.0186330904,0.0805046247,0.0843983093,0.0391139683,0.0110332918,,,
46.6191406250,47.1191406250,0.1767362735,0.0205816161,0.0668807542,0.1332070656,0.0424113735,0.0113519410,,,
46.7187500000,47.2187500000,0.2088772597,0.0222209191,0.0550837039,0.1855857701,0.0446719246,0.0122366852,,,
46.8183593750,47.3183593750,0.2654744530,0.0234035231,0.0534223407,0.2207048474,0.0434599157,0.0115900413,,,
46.9179687500,47.4179687500,0.2962545732,0.0237872044,0.0613501186,0.2325812885,0.0384944534,0.0114076890,,,
47.0175781250,47.5175781250,0.2918417672,0.0236581661,0.0772897495,0.2256791880,0.0312369747,0.0152128384,,,
47.1171875000,47.6171875000,0.2677252727,0.0244787048,0.0992402356,0.2005570244,0.0244267735,0.0237675946,,,
47.2167968750,47.7167968750,0.2349097626,0.0277474170,0.1181168191,0.1671198557,0.0195936261,0.0347151140,,,
47.3164062500,47.8164062500,0.2081382007,0.0321463918,0.1283647405,0.1443585608,0.0159371539,0.0454461034,,,
47.4160156250,47.9160156250,0.2089959496,0.0352439867,0.1373013156,0.1371192727,0.0135240141,0.0523200799,,,
47.5156250000,48.0156250000,0.2368429317,0.0361010540,0.1662954745,0.1377825895,0.0136884257,0.0514161279,,,
47.6152343750,48.1152343750,0.2640087890,0.0355932494,0.2241773953,0.1375833446,0.0168086133,0.0415188139,,,
47.7148437500,48.2148437500,0.2665235544,0.0363693411,0.3001170720,0.1286348231,0.0239258554,0.0273613157,,,
47.8144531250,48.3144531250,0.2394710506,0.0415839117,0.3691876586,0.1118431043,0.0352613266,0.0151507030,,,
47.9140625000,48.4140625000,0.1895277227,0.0515305568,0.4076075516,0.0975586930,0.0469487540,0.0076581842,,,
48.0136718750,48.5136718750,0.1209472212,0.0625792470,0.4010993042,0.0970501038,0.0545939513,0.0039957099,,,
48.1132812500,48.6132812500,0.0526161456,0.0686602308,0.3501966020,0.1154384509,0.0564137251,0.0026218155,,,
48.2128906250,48.7128906250,0.0156829869,0.0660482080,0.2677660855,0.1474845913,0.0531216952,0.0022286639,,,
48.3125000000,48.8125000000,0.0239513348,0.0559275503,0.1793188287,0.1743551394,0.0470433419,0.0022416593,,,
48.4121093750,48.9121093750,0.0554490704,0.0422844472,0.1142607334,0.1819660255,0.0419834427,0.0024956519,,,
48.5117187500,49.0117187500,0.0821721040,0.0287801991,0.0802929861,0.1632264265,0.0393020196,0.0023712917,,,
48.6113281250,49.1113281250,0.0946341956,0.0185665018,0.0645134039,0.1241265657,0.0387136334,0.0021017202,,,
48.7109375000,49.2109375000,0.1027878542,0.0130880860,0.0559904246,0.0822923606,0.0384059617,0.0035686905,,,
48.8105468750,49.3105468750,0.1193331754,0.0110421006,0.0484089084,0.0596454458,0.0358539615,0.0089590082,,,
48.9101562500,49.4101562500,0.1574714835,0.0105888470,0.0398308141,0.0632720233,0.0299953812,0.0196927847,,,
49.0097656250,49.5097656250,0.2238844065,0.0105738505,0.0363974590,0.0820703187,0.0241576739,0.0339448354,,,
49.1093750000,49.6093750000,0.3004038449,0.0099739718,0.0476544948,0.1047991713,0.0225272119,0.0454333687,,,
49.2089843750,49.7089843750,0.3565307388,0.0086575230,0.0669035827,0.1396456914,0.0273345274,0.0485484646,,,
49.3085937500,49.8085937500,0.3723106914,0.0067919278,0.0775579465,0.1982732298,0.0388319275,0.0442928085,,,
49.4082031250,49.9082031250,0.3418947043,0.0042409339,0.0752899318,0.2718681378,0.0541698378,0.0363394755,,,
49.5078125000,50.0078125000,0.2724369375,0.0018222587,0.0659057019,0.3324873088,0.0683485780,0.0275611312,,,
49.6074218750,50.1074218750,0.1875335994,0.0010486341,0.0527512733,0.3560052250,0.0756008660,0.0220986831,,,
49.7070312500,50.2070312500,0.1174757043,0.0021093331,0.0426522079,0.3341075638,0.0730502453,0.0225672112,,,
49.8066406250,50.3066406250,0.0880058370,0.0045401479,0.0478143269,0.2729275783,0.0626099714,0.0253450557,,,
49.9062500000,50.4062500000,0.1133036290,0.0077981737,0.0643411631,0.1871097397,0.0491822131,0.0264391295,,,
50.0058593750,50.5058593750,0.1830787076,0.0107497230,0.0780526755,0.1044403521,0.0352475440,0.0258773291,,,
50.1054687500,50.6054687500,0.2513391900,0.0120923376,0.0805240739,0.0556169695,0.0230137088,0.0235795916,,,
50.2050781250,50.7050781250,0.2837737294,0.0114258727,0.0718038343,0.0418770730,0.0153109260,0.0196202391,,,
50.3046875000,50.8046875000,0.2766326785,0.0089864117,0.0550035920,0.0366675661,0.0127178450,0.0158521166,,,
50.4042968750,50.9042968750,0.2486427303,0.0058317266,0.0394246889,0.0319991427,0.0120383700,0.0129060404,,,
50.5039062500,51.0039062500,0.2094740340,0.0036323569,0.0341981788,0.0472945642,0.0116210061,0.0101728165,,,
50.6035156250,51.1035156250,0.1692448218,0.0028543623,0.0379400537,0.0912049100,0.0112675957,0.0083961230,,,
50.7031250000,51.2031250000,0.1400150526,0.0025382611,0.0418007429,0.1547476000,0.0108461946,0.0084421465,,,
50.8027343750,51.3027343750,0.1281037288,0.0024920059,0.0435796902,0.2214031227,0.0108922418,0.0096182534,,,
50.9023437500,51.4023437500,0.1253861040,0.0027009683,0.0457851201,0.2628661156,0.0127972190,0.0104148653,,,
51.0019531250,51.5019531250,0.1240129972,0.0027280256,0.0450493417,0.2617899356,0.0171492893,0.0107390361,,,
51.1015625000,51.6015625000,0.1301255375,0.0027213007,0.0429718613,0.2230237907,0.0237610973,0.0116501623,,,
51.2011718750,51.7011718750,0.1482566274,0.0028625594,0.0482418459,0.1619082425,0.0316199084,0.0128032092,,,
51.3007812500,51.8007812500,0.1752197998,0.0028395044,0.0581543209,0.0953093533,0.0398921951,0.0124764551,,,
51.4003906250,51.9003906250,0.1839772706,0.0034898030,0.0607461860,0.0566185683,0.0492771342,0.0107763894,,,
51.5000000000,52.0000000000,0.1642946142,0.0063845983,0.0550766132,0.0742926388,0.0590023679,0.0108905269,,,
51.5996093750,52.0996093750,0.1327804944,0.0126011865,0.0473439844,0.1461790723,0.0656237940,0.0160388109,,,
51.6992187500,52.1992187500,0.1110372278,0.0219630327,0.0405999986,0.2418952655,0.0659889455,0.0258477559,,,
51.7988281250,52.2988281250,0.1024567338,0.0330621228,0.0356277219,0.3289240182,0.0595625063,0.0371891861,,,
51.8984375000,52.3984375000,0.1135963860,0.0441815393,0.0356994688,0.3827833587,0.0496810174,0.0469408819,,,
51.9980468750,52.4980468750,0.1553423372,0.0518532871,0.0436451532,0.3931854846,0.0417684884,0.0514453570,,,
52.0976562500,52.5976562500,0.2170153417,0.0526923463,0.0546665668,0.3559027561,0.0391473383,0.0482299496,,,
52.1972656250,52.6972656250,0.2649471139,0.0466384917,0.0597384658,0.2804574806,0.0409729543,0.0391123228,,,
52.2968750000,52.7968750000,0.2850422803,0.0363601006,0.0568792445,0.1944527069,0.0449681353,0.0287298180,,,
52.3964843750,52.8964843750,0.2963115222,0.0248172976,0.0510326871,0.1275042608,0.0476654749,0.0194871964,,,
69.9218750000,70.4218750000,0.1445124930,0.0221996819,0.0916712923,0.3518906861,0.0108181412,0.0028676971,,,
70.0214843750,70.5214843750,0.1076191599,0.0286855928,0.0846715349,0.3917735843,0.0162425363,0.0026580962,,,
70.1210937500,70.6210937500,0.0828281566,0.0345735894,0.0822632849,0.3778922346,0.0225162413,0.0023100748,,,
70.2207031250,70.7207031250,0.0721119009,0.0367107798,0.0851498948,0.3194345645,0.0261556499,0.0022124055,,,
70.3203125000,70.8203125000,0.0657815986,0.0339522603,0.0878670744,0.2570907519,0.0267322116,0.0033852864,,,
70.4199218750,70.9199218750,0.0642086237,0.0283285794,0.0934488946,0.2072326754,0.0250094044,0.0075526790,,,
70.5195312500,71.0195312500,0.0716906137,0.0247778501,0.1046743500,0.1745836018,0.0232154324,0.0151722505,,,
70.6191406250,71.1191406250,0.0822756063,0.0247711510,0.1134344970,0.1734283187,0.0260502254,0.0248773944,,,
70.7187500000,71.2187500000,0.0967663406,0.0248413342,0.1183146938,0.1853939942,0.0361354610,0.0350774371,,,
70.8183593750,71.3183593750,0.1246860757,0.0242463560,0.1224722886,0.1742211432,0.0511870443,0.0439338482,,,
70.9179687500,71.4179687500,0.1596859061,0.0243556864,0.1192435448,0.1330905632,0.0661050897,0.0479445489,,,
71.0175781250,71.5175781250,0.1770040705,0.0246485942,0.1015860083,0.0862745995,0.0741317673,0.0450255501,,,
71.1171875000,71.6171875000,0.1608589061,0.0265064761,0.0788295986,0.0530210364,0.0712362254,0.0368280563,,,
71.2167968750,71.7167968750,0.1278667619,0.0334509661,0.0648230411,0.0421455344,0.0600617357,0.0269112573,,,
71.3164062500,71.8164062500,0.1112927691,0.0450402033,0.0655352681,0.0513216491,0.0450595127,0.0184395091,,,
71.4160156250,71.9160156250,0.1249253296,0.0563581667,0.0726818545,0.0788983862,0.0297081048,0.0136662907,,,
71.5156250000,72.0156250000,0.1577417684,0.0636417541,0.0749488507,0.1205045185,0.0181422109,0.0124867194,,,
71.6152343750,72.1152343750,0.1936824975,0.0644817768,0.0684730426,0.1702396651,0.0135699865,0.0137193031,,,
71.7148437500,72.2148437500,0.2119428338,0.0583412039,0.0555614948,0.2146024907,0.0137523994,0.0161256992,,,
71.8144531250,72.3144531250,0.1934359275,0.0472310317,0.0418131106,0.2453701978,0.0140237160,0.0173187758,,,
71.9140625000,72.4140625000,0.1465820893,0.0353487261,0.0337231618,0.2577955447,0.0126360082,0.0156395293,,,
72.0136718750,72.5136718750,0.1070703563,0.0262645171,0.0317764029,0.2505394619,0.0102891739,0.0125609132,,,
72.1132812500,72.6132812500,0.1086681902,0.0215292840,0.0319895387,0.2190364363,0.0089838935,0.0098937095,,,
72.2128906250,72.7128906250,0.1403982962,0.0205984429,0.0326160230,0.1725956312,0.0110974306,0.0071222723,,,
72.3125000000,72.8125000000,0.1684502384,0.0211383403,0.0340774218,0.1243863773,0.0164473539,0.0043842343,,,
72.4121093750,72.9121093750,0.1760495210,0.0222832562,0.0420562161,0.0842502640,0.0224353313,0.0033439114,,,
72.5117187500,73.0117187500,0.1640473879,0.0254038477,0.0646065452,0.0551815272,0.0274401223,0.0041669557,,,
72.6113281250,73.1113281250,0.1282008403,0.0317483620,0.0976084984,0.0471975771,0.0294127799,0.0049091659,,,
72.7109375000,73.2109375000,0.0775429956,0.0405204111,0.1310227732,0.0653917881,0.0265480837,0.0048390703,,,
72.8105468750,73.3105468750,0.0485825450,0.0485090684,0.1585004928,0.1085876408,0.0208041500,0.0043755592,,,
72.9101562500,73.4101562500,0.0552294563,0.0517249623,0.1752723921,0.1538705301,0.0148322332,0.0035460633,,,
73.0097656250,73.5097656250,0.0725205201,0.0483108839,0.1768612824,0.1760602477,0.0093893945,0.0023042256,,,
73.1093750000,73.6093750000,0.0889281024,0.0391814098,0.1625655912,0.1715756411,0.0053338105,0.0012029263,,,
73.2089843750,73.7089843750,0.1153697428,0.0269443065,0.1365631137,0.1536189750,0.0041149659,0.0007750929,,,
73.3085937500,73.8085937500,0.1514884453,0.0154378904,0.1095311379,0.1422418401,0.0054394269,0.0021125373,,,
73.4082031250,73.9082031250,0.1977057271,0.0079691648,0.0826001700,0.1582275349,0.0075022051,0.0054055722,,,
73.5078125000,74.0078125000,0.2449556818,0.0049356881,0.0524496100,0.2086316913,0.0088560386,0.0092323584,,,
73.6074218750,74.1074218750,0.2743167201,0.0047205276,0.0312385954,0.2721683940,0.0093798982,0.0122598158,,,
73.7070312500,74.2070312500,0.2694229337,0.0063075244,0.0305145493,0.3201492695,0.0095865198,0.0136947899,,,
73.8066406250,74.3066406250,0.2332465072,0.0102014266,0.0393788453,0.3270739560,0.0093168617,0.0128160291,,,
73.9062500000,74.4062500000,0.1900848279,0.0152542727,0.0506769590,0.2974964196,0.0086849623,0.0098683354,,,
74.0058593750,74.5058593750,0.1696898563,0.0185379857,0.0654264390,0.2544591499,0.0080624027,0.0065422409,,,
74.1054687500,74.6054687500,0.1755941646,0.0191933556,0.0779398229,0.2159726216,0.0080981021,0.0044230582,,,
74.2050781250,74.7050781250,0.1939903711,0.0175794215,0.0849131747,0.1848566859,0.0081575111,0.0041233117,,,
74.3046875000,74.8046875000,0.2049361008,0.0146289200,0.0877011169,0.1678318662,0.0081158290,0.0048235118,,,
74.4042968750,74.9042968750,0.1912090549,0.0143466896,0.0835253930,0.1595587789,0.0096405494,0.0055325491,,,
74.5039062500,75.0039062500,0.1443528958,0.0214792080,0.0766877217,0.1505123182,0.0124932476,0.0060239104,,,
74.6035156250,75.1035156250,0.0776241644,0.0347112826,0.0782522131,0.1473109494,0.0139731957,0.0060778041,,,
74.7031250000,75.2031250000,0.0278500154,0.0468023836,0.0919680769,0.1550893624,0.0135490364,0.0054346952,,,
74.8027343750,75.3027343750,0.0171704184,0.0527257549,0.1107322831,0.1536425752,0.0120096716,0.0048300108,,,
74.9023437500,75.4023437500,0.0245429237,0.0512819017,0.1256140738,0.1333171633,0.0091844607,0.0051415370,,,
75.0019531250,75.5019531250,0.0284399393,0.0432707148,0.1333326927,0.1195484703,0.0066990356,0.0059463849,,,
75.1015625000,75.6015625000,0.0298465295,0.0316722705,0.1337830428,0.1335247207,0.0093603476,0.0062312138,,,
75.2011718750,75.7011718750,0.0309104541,0.0217579576,0.1251399473,0.1715904578,0.0201140716,0.0059418837,,,
75.3007812500,75.8007812500,0.0328818210,0.0156594583,0.1132012490,0.2208686053,0.0361740532,0.0058104730,,,
75.4003906250,75.9003906250,0.0353943371,0.0118477459,0.1113601511,0.2608920455,0.0512126292,0.0060663216,,,
75.5000000000,76.0000000000,0.0356211957,0.0086026363,0.1264017406,0.2656069343,0.0595388115,0.0068067681,,,
75.5996093750,76.0996093750,0.0375153609,0.0059766741,0.1546276045,0.2267336618,0.0585864517,0.0084906960,,,
75.6992187500,76.1992187500,0.0472080181,0.0056847341,0.1909434116,0.1622883367,0.0488637839,0.0113140222,,,
75.7988281250,76.2988281250,0.0633156578,0.0082026098,0.2318986383,0.1080059558,0.0341076857,0.0142155287,,,
75.8984375000,76.3984375000,0.0826619186,0.0114374808,0.2654764369,0.1090112364,0.0204344728,0.0159958803,,,
75.9980468750,76.4980468750,0.1153989450,0.0139108222,0.2760753887,0.1818118737,0.0132154371,0.0171111614,,,
76.0976562500,76.5976562500,0.1611039545,0.0151058999,0.2559673808,0.2849579930,0.0123660200,0.0183244721,,,
76.1972656250,76.6972656250,0.2033562195,0.0142563504,0.2116643251,0.3638266892,0.0145201062,0.0188009577,,,
76.2968750000,76.7968750000,0.2320103508,0.0115600603,0.1568776200,0.3933270800,0.0164952105,0.0184062895,,,
76.3964843750,76.8964843750,0.2426592480,0.0085405312,0.1147838614,0.3706278591,0.0166374992,0.0181689419,,,
105.9218750000,106.4218750000,0.1063396830,0.0384753478,0.0706132296,0.1983829769,0.0080870444,0.0251933179,,,
106.0214843750,106.5214843750,0.1157803082,0.0356220255,0.0727738579,0.1685193405,0.0117412040,0.0175011286,,,
106.1210937500,106.6210937500,0.1349071441,0.0320636772,0.0657304937,0.1269400367,0.0148447739,0.0093306690,,,
106.2207031250,106.7207031250,0.1694927401,0.0261988043,0.0537662621,0.0861454824,0.0148498486,0.0038820536,,,
106.3203125000,106.8203125000,0.2208572347,0.0190940336,0.0423000157,0.0562129198,0.0148921882,0.0016269518,,,
106.4199218750,106.9199218750,0.2814816687,0.0145851000,0.0378588338,0.0385828601,0.0200254274,0.0012059212,,,
106.5195312500,107.0195312500,0.3322955441,0.0148467905,0.0392357006,0.0343667277,0.0279126210,0.0013329654,,,
106.6191406250,107.1191406250,0.3485933594,0.0174380853,0.0409310720,0.0405677416,0.0320649636,0.0015574027,,,
106.7187500000,107.2187500000,0.3191794176,0.0181636120,0.0407686460,0.0506872799,0.0326716380,0.0014918853,,,
106.8183593750,107.3183593750,0.2660085720,0.0168110495,0.0365055715,0.0677912207,0.0329323662,0.0014472872,,,
106.9179687500,107.4179687500,0.2100152057,0.0168444488,0.0319714053,0.1088388872,0.0309058083,0.0021748600,,,
107.0175781250,107.5175781250,0.1564633487,0.0198693615,0.0340720606,0.1775277136,0.0260821054,0.0038329528,,,
107.1171875000,107.6171875000,0.1139109624,0.0240240289,0.0404495246,0.2503887508,0.0238376773,0.0062332899,,,
107.2167968750,107.7167968750,0.1018161082,0.0270184202,0.0433292575,0.2911446784,0.0252141088,0.0092469250,,,
107.3164062500,107.8164062500,0.1315888733,0.0268860392,0.0433589670,0.2839330860,0.0236382464,0.0121927536,,,
107.4160156250,107.9160156250,0.2145393218,0.0225404561,0.0409237499,0.2466782958,0.0184995956,0.0145937694,,,
107.5156250000,108.0156250000,0.3512383579,0.0156730555,0.0321387511,0.2149532647,0.0171590648,0.0159215378,,,
107.6152343750,108.1152343750,0.4921813751,0.0094165815,0.0192522431,0.1969943954,0.0236104855,0.0145875314,,,
107.7148437500,108.2148437500,0.5704714482,0.0050532457,0.0123770828,0.1902398964,0.0347345875,0.0115482170,,,
107.8144531250,108.3144531250,0.5657959822,0.0035537599,0.0143847424,0.1987595632,0.0455422938,0.0092707129,,,
107.9140625000,108.4140625000,0.4893084287,0.0047700506,0.0205695947,0.2039083750,0.0522022333,0.0083394627,,,
108.0136718750,108.5136718750,0.3602449641,0.0072402596,0.0282361753,0.1724744249,0.0519240028,0.0083704935,,,
108.1132812500,108.6132812500,0.2194136031,0.0112077744,0.0375531442,0.1088700400,0.0441621070,0.0107931307,,,
108.2128906250,108.7128906250,0.1399436263,0.0183327555,0.0443663036,0.0568318897,0.0320497288,0.0149807745,,,
108.3125000000,108.8125000000,0.1460581503,0.0265561700,0.0429114597,0.0410184114,0.0209318671,0.0186342407,,,
108.4121093750,108.9121093750,0.1941742127,0.0330368859,0.0342511417,0.0493348243,0.0137733601,0.0209893819,,,
108.5117187500,109.0117187500,0.2330776033,0.0362843164,0.0246302328,0.0647777261,0.0100756442,0.0231043130,,,
108.6113281250,109.1113281250,0.2417485414,0.0346211628,0.0183691534,0.0829051626,0.0089084534,0.0250240989,,,
108.7109375000,109.2109375000,0.2253398213,0.0284135182,0.0150821149,0.0959180360,0.0092038608,0.0263854950,,,
108.8105468750,109.3105468750,0.1920344361,0.0208889841,0.0134846051,0.0986429105,0.0095098781,0.0276576166,,,
108.9101562500,109.4101562500,0.1464589708,0.0131228850,0.0145350950,0.0946617173,0.0089349190,0.0300595826,,,
109.0097656250,109.5097656250,0.0968551761,0.0073738585,0.0249643490,0.0895611428,0.0077071432,0.0328883281,,,
109.1093750000,109.6093750000,0.0617842485,0.0075566581,0.0523678826,0.0832975498,0.0066479109,0.0346398683,,,
109.2089843750,109.7089843750,0.0613043633,0.0117306209,0.0945206228,0.0811379167,0.0076104966,0.0345222727,,,
109.3085937500,109.8085937500,0.1005128318,0.0147389457,0.1408061258,0.0780285710,0.0120880438,0.0332823912,,,
109.4082031250,109.9082031250,0.1597452644,0.0157840589,0.1751079897,0.0659447032,0.0179496117,0.0303235114,,,
109.5078125000,110.0078125000,0.2161453318,0.0152249556,0.1849091029,0.0542969870,0.0213326187,0.0253901379,,,
109.6074218750,110.1074218750,0.2600928300,0.0126641643,0.1645781727,0.0626982835,0.0214317065,0.0197711440,,,
109.7070312500,110.2070312500,0.2861429980,0.0088467919,0.1218348974,0.0905595993,0.0197946360,0.0147373995,,,
109.8066406250,110.3066406250,0.2842776278,0.0053328444,0.0743335800,0.1275941613,0.0181603274,0.0102884480,,,
109.9062500000,110.4062500000,0.2507652057,0.0038818593,0.0384452150,0.1591333609,0.0188407901,0.0075896219,,,
110.0058593750,110.5058593750,0.2028418128,0.0060175755,0.0185046023,0.1680238989,0.0222775304,0.0073480549,,,
110.1054687500,110.6054687500,0.1562935268,0.0108371219,0.0113723629,0.1488202953,0.0255153621,0.0092130923,,,
110.2050781250,110.7050781250,0.1063718006,0.0168992796,0.0108881217,0.1081481083,0.0264698475,0.0127454341,,,
